question_id,question,question_type,authored_by,author_role,expected_answer_notes,expected_pmids_optional,answer_usefulness,pmid_traceability,abstention_correct,reviewer_notes,theme,difficulty,a_priori_expectation
ind_001,"In adults with hypercholesterolemia, does daily probiotic supplementation lower LDL cholesterol?",evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Strong graph coverage: probiotics x LDL is among the densest relations. Expect cited PMIDs and a (mostly positive/reducing) direction.,,,,,,lipids,easy,likely_answerable
ind_002,Does probiotic yogurt reduce total cholesterol more than conventional yogurt?,comparison,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Both probiotic_yogurt and conventional_yogurt x total_cholesterol exist; comparison should surface both with PMIDs.,,,,,,lipids,medium,likely_answerable
ind_003,Is there evidence that probiotic intake raises HDL cholesterol?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",HDL effects are frequently null in the literature; test whether the system reports weak/neutral direction honestly rather than overclaiming.,,,,,,lipids,medium,boundary
ind_004,Do fermented dairy products change serum triglyceride levels?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",triglycerides is a well-populated outcome; expect traceable PMIDs.,,,,,,lipids,easy,likely_answerable
ind_005,Does kefir improve fasting blood glucose in people with type 2 diabetes?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",kefir x fasting_glucose/blood_glucose present; population qualifier (T2D) tests specificity.,,,,,,glycemic,medium,likely_answerable
ind_006,Is probiotic supplementation associated with reduced HbA1c?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",hba1c is an indexed outcome with probiotic subjects.,,,,,,glycemic,easy,likely_answerable
ind_007,Do probiotics improve insulin resistance measured by HOMA-IR?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",homa-ir present (20 claims).,,,,,,glycemic,medium,likely_answerable
ind_008,Compare kefir and probiotic yogurt for effects on glucose metabolism.,comparison,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Both high-frequency subjects; comparison should recover both sides with PMIDs.,,,,,,glycemic,medium,likely_answerable
ind_009,Does probiotic intake increase Bifidobacterium abundance in the gut?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",bifidobacterium_abundance is an explicit outcome.,,,,,,microbiota,easy,likely_answerable
ind_010,How does Lactobacillus rhamnosus GG affect gut microbiota composition?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",LGG has 34 claims; gut_microbiota_composition is top outcome.,,,,,,microbiota,easy,likely_answerable
ind_011,Do fermented foods alter overall gut microbiota diversity?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",fermented_foods x gut_microbiota present.,,,,,,microbiota,medium,likely_answerable
ind_012,Does kombucha consumption change human gut microbiota composition?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Most kombucha claims are in-vitro/antimicrobial; human gut-microbiota RCT data is sparse. Test honest scoping.,,,,,,microbiota,hard,boundary
ind_013,Does fermented milk lower systolic blood pressure?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",systolic_blood_pressure + fermented_milk present.,,,,,,blood_pressure,easy,likely_answerable
ind_014,Are probiotics associated with reduced diastolic blood pressure?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",diastolic_blood_pressure indexed.,,,,,,blood_pressure,medium,likely_answerable
ind_015,Is there evidence linking fermented foods to cardiovascular disease risk?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",cardiovascular_diseases present (13) but often as surrogate; test whether it distinguishes risk-factor vs hard-endpoint evidence.,,,,,,blood_pressure,medium,boundary
ind_016,Do probiotics reduce C-reactive protein (CRP) levels?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",c-reactive_protein / CRP outcomes present.,,,,,,inflammation,easy,likely_answerable
ind_017,Does probiotic supplementation lower TNF-alpha?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",tnf-α indexed (14).,,,,,,inflammation,medium,likely_answerable
ind_018,Do probiotics reduce the incidence or duration of upper respiratory tract infections?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",immune_function exists but URTI-specific endpoints may be sparse; test scoping.,,,,,,immune,hard,boundary
ind_019,Which probiotic strains are linked to immune or inflammatory biomarkers?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Multiple strains x inflammatory_markers/immune_function.,,,,,,immune,medium,likely_answerable
ind_020,Does probiotic supplementation reduce body weight or BMI in adults with obesity?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","body_weight, bmi, obesity all indexed.",,,,,,weight,easy,likely_answerable
ind_021,Are synbiotic supplements associated with reduced waist circumference?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",synbiotic_supplement (44) and waist_circumference (20) exist but intersection may be thin.,,,,,,weight,medium,boundary
ind_022,Do fermented foods affect metabolic syndrome components?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",metabolic_syndrome present (10); coverage moderate.,,,,,,weight,medium,boundary
ind_023,Do probiotics relieve IBS symptoms such as abdominal pain?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","ibs_symptoms, abdominal_pain indexed.",,,,,,gi,easy,likely_answerable
ind_024,Does probiotic supplementation reduce the duration of acute diarrhea?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",duration_of_diarrhea present (11).,,,,,,gi,easy,likely_answerable
ind_025,Are probiotics effective for relieving constipation and improving stool frequency?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",stool_frequency present (10).,,,,,,gi,medium,likely_answerable
ind_026,Compare probiotics and synbiotic supplements for gastrointestinal symptom relief.,comparison,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Both subjects + GI outcomes exist.,,,,,,gi,medium,likely_answerable
ind_027,Does Bifidobacterium longum NCC3001 affect psychological or brain-related outcomes?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",B. longum NCC3001 (18 claims) is the gut-brain strain.,,,,,,gut_brain,medium,likely_answerable
ind_028,Is there evidence that probiotics improve cognitive function?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",cognitive_function present (16) but heterogeneous.,,,,,,gut_brain,medium,boundary
ind_029,Do fermented foods influence anxiety or depression symptoms?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Coverage uncertain; test whether system avoids overclaiming gut-brain effects.,,,,,,gut_brain,hard,boundary
ind_030,What adverse events are reported for probiotic supplementation?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",adverse_events indexed (14).,,,,,,safety,easy,likely_answerable
ind_031,Is there evidence of probiotic-associated bacteremia or infection risk?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Specific safety endpoint; likely sparse. Test honest scoping / abstention if absent.,,,,,,safety,hard,boundary
ind_032,Are there documented safety concerns for kombucha consumption?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Kombucha adverse-event evidence is limited; test scoping.,,,,,,safety,hard,boundary
ind_033,Do fermented foods affect oxidative stress markers?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",oxidative_stress indexed (15).,,,,,,antioxidant,medium,likely_answerable
ind_034,Does kombucha exhibit antioxidant activity?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",antioxidant_activity present; kombucha has in-vitro claims.,,,,,,antioxidant,easy,likely_answerable
ind_035,Does kefir have antimicrobial or anticarcinogenic activity?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",antimicrobial_activity present; anticarcinogenic claims likely in-vitro/sparse.,,,,,,antioxidant,medium,boundary
ind_036,What health outcomes are associated with kimchi consumption?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",kimchi (24 claims) present but outcome spread uncertain.,,,,,,specific_foods,medium,boundary
ind_037,Does tempeh consumption affect any measured health outcome?,description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",tempeh (21) present; specific outcomes thin.,,,,,,specific_foods,hard,boundary
ind_038,Is miso linked to any cardiovascular or cancer outcome?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",miso (12); endpoint specificity may exceed coverage.,,,,,,specific_foods,hard,boundary
ind_039,Compare kefir and yogurt for lipid-related outcomes.,comparison,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Both high-frequency subjects with lipid outcomes.,,,,,,specific_foods,easy,likely_answerable
ind_040,"Among fermented foods in the graph, which subjects are most connected to LDL cholesterol?",description,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Aggregation query; ldl_cholesterol is densest lipid outcome.,,,,,,analysis,medium,likely_answerable
ind_041,Which claims about kefir report a neutral or no-significant-effect finding?,quality_review,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Tests whether neutral-direction claims are retrievable, not just positive ones.",,,,,,analysis,hard,likely_answerable
ind_042,Which graph claims should be interpreted cautiously because their effect direction is unclear?,quality_review,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Probes direction-precision limitation (manual audit direction precision ~0.70).,,,,,,analysis,hard,likely_answerable
